code,scale
001404.OF,3335819133.98 
001409.OF,11174016894.82 
001410.OF,95132071.37 
001416.OF,12129259589.23 
001421.OF,247094411.62 
001473.OF,139115514.38 
001476.OF,4140493579.11 
001482.OF,184880717.57 
001490.OF,1998514850.78 
001496.OF,560157159.47 
001521.OF,341165828.86 
001528.OF,145171777.54 
001541.OF,1233186027.43 
001542.OF,476803027.98 
001577.OF,465873410.06 
001583.OF,36398831.34 
001605.OF,259338517.49 
001616.OF,1747570811.61 
001626.OF,139928807.19 
001628.OF,137077407.85 
001637.OF,1173483161.30 
001638.OF,1045.55 
001643.OF,288122090.64 
001644.OF,117619763.80 
001645.OF,318398495.50 
001651.OF,153332620.52 
001663.OF,146146572.77 
001672.OF,1039386120.73 
001677.OF,236136923.85 
001692.OF,339767416.42 
001705.OF,680197629.24 
001714.OF,417551641.94 
001717.OF,220927022.51 
001718.OF,250359089.22 
001719.OF,300600585.47 
001726.OF,2742523611.74 
001736.OF,501170145.78 
001766.OF,305883389.86 
001781.OF,374969944.42 
001849.OF,108389383.56 
001877.OF,296507809.53 
001878.OF,
001915.OF,577337403.48 
001917.OF,
001938.OF,27337387.07 
001956.OF,250881709.35 
001975.OF,
002168.OF,222404048.55 
002210.OF,202623996.52 
002229.OF,
002300.OF,332250861.92 
002334.OF,
002335.OF,
110022.OF,725310695.60 
160127.OF,234728338.96 
160133.OF,674243716.18 
160919.OF,935271758.09 
162208.OF,725677306.91 
163110.OF,628471217.04 
165310.OF,245197870.69 
206012.OF,63114135.81 
320022.OF,1133394996.96 
340006.OF,4244452643.50 
360001.OF,3875648536.34 
376510.OF,226235029.51 
399011.OF,71407043.40 
450009.OF,424531300.14 
519195.OF,258751398.11 
519606.OF,512890291.53 
519673.OF,957783099.38 
519714.OF,36574694.93 
519965.OF,111142362.97 
519975.OF,291994381.68 
540006.OF,1859294322.24 
540007.OF,111813628.66 
540008.OF,1222119735.55 
540009.OF,170518338.12 
540010.OF,1123781070.36 
960000.OF,537662.44 
000008.OF,412998055.18 
000051.OF,11387961850.53 
000059.OF,323786279.20 
000248.OF,1237395552.69 
000368.OF,285698293.05 
000373.OF,33238282.11 
000376.OF,11099062.43 
000596.OF,1254488027.15 
000613.OF,889901612.24 
000656.OF,4764423.43 
000826.OF,575141704.33 
000827.OF,1096452770.19 
000835.OF,113350672.49 
000942.OF,373525927.58 
000950.OF,1003720916.50 
000961.OF,463186640.21 
000962.OF,654915385.08 
000968.OF,156805416.22 
000975.OF,120843121.83 
001051.OF,487594703.26 
001052.OF,888073223.71 
001064.OF,1382531003.96 
001113.OF,7620787946.05 
001133.OF,530436471.97 
001149.OF,5945526.92 
001180.OF,739273534.53 
001214.OF,284391327.05 
001237.OF,108039805.44 
001241.OF,252618349.78 
001242.OF,1598152018.78 
001243.OF,342719054.65 
001351.OF,212709946.91 
001361.OF,803463050.33 
001420.OF,1402777923.21 
001426.OF,152033246.83 
001455.OF,102367307.43 
001458.OF,17866829.88 
001459.OF,20047313.35 
001460.OF,42311583.28 
001469.OF,85186979.94 
001539.OF,71639951.48 
001548.OF,8285942.54 
001549.OF,4498989.12 
001550.OF,38048708.46 
001551.OF,4412519.99 
001552.OF,42371981.17 
001553.OF,4269369.59 
001554.OF,29573475.62 
001555.OF,3912702.96 
001556.OF,17464113.07 
001557.OF,4752273.64 
001558.OF,8206993.66 
001559.OF,3902988.68 
001560.OF,20929932.02 
001561.OF,4057887.01 
001586.OF,5682621.48 
001587.OF,4528914.30 
001588.OF,5694251.02 
001589.OF,4539961.10 
001590.OF,21861232.74 
001591.OF,4852300.10 
001592.OF,36395234.33 
001593.OF,5270436.24 
001594.OF,10956645.76 
001595.OF,5209913.06 
001599.OF,18754736.56 
001600.OF,5428065.46 
001611.OF,7867764.35 
001612.OF,4836913.97 
001617.OF,6528926.59 
001618.OF,5190872.17 
001629.OF,12695553.60 
001630.OF,5141799.60 
001631.OF,28990335.71 
001632.OF,5323623.68 
001713.OF,333158464.17 
001899.OF,222652239.45 
002199.OF,162722295.04 
002236.OF,326586450.16 
020011.OF,1975937135.24 
020021.OF,473427018.56 
040180.OF,612788150.52 
040190.OF,129051050.46 
050013.OF,225311241.31 
050021.OF,37421721.73 
050024.OF,36815045.90 
070023.OF,86027149.37 
070030.OF,174518372.07 
090010.OF,107351457.00 
090012.OF,226824716.05 
100053.OF,158571987.72 
110019.OF,2969601920.50 
110020.OF,4382241861.92 
110021.OF,269075943.80 
110026.OF,1000152511.28 
159901.OF,5889978023.87 
159902.OF,2944582782.07 
159903.OF,626189343.36 
159905.OF,288340881.25 
159906.OF,219251775.18 
159907.OF,330714161.30 
159908.OF,44418393.24 
159909.OF,89877465.38 
159910.OF,86249716.98 
159911.OF,73315031.82 
159912.OF,86931539.99 
159913.OF,50563338.23 
159915.OF,4131209464.55 
159916.OF,93695098.56 
159918.OF,172214937.48 
159919.OF,20551889309.33 
159921.OF,37457444.88 
159922.OF,867281040.59 
159923.OF,54807654.05 
159924.OF,87459376.25 
159925.OF,1242792956.84 
159927.OF,38168082.55 
159928.OF,1202828001.42 
159929.OF,124676779.79 
159930.OF,11904165.48 
159931.OF,53190649.99 
159932.OF,42855510.49 
159933.OF,464871253.97 
159935.OF,120120868.55 
159936.OF,500420011.04 
159938.OF,782271105.48 
159939.OF,589109804.30 
159940.OF,173576255.67 
159942.OF,123479073.00 
159943.OF,763719894.04 
159944.OF,109565034.09 
159945.OF,110061462.33 
159946.OF,50762576.45 
160119.OF,5701544856.19 
160135.OF,211108569.04 
160136.OF,549736119.64 
160137.OF,339831703.50 
160218.OF,2431147938.31 
160219.OF,9327953661.61 
160221.OF,1933303653.35 
160222.OF,1929135668.51 
160224.OF,354215182.26 
160225.OF,42123554.45 
160415.OF,35393103.49 
160417.OF,3715152.29 
160418.OF,69448723.49 
160419.OF,178708882.86 
160420.OF,22519692.95 
160516.OF,262555956.83 
160517.OF,103998039.39 
160615.OF,286160242.57 
160616.OF,357093075.66 
160620.OF,464558852.62 
160625.OF,2967881207.05 
160626.OF,669583211.69 
160628.OF,485671503.85 
160629.OF,1458408613.11 
160630.OF,12542012122.13 
160631.OF,7610957192.53 
160632.OF,406519109.34 
160633.OF,5841433319.80 
160634.OF,247121666.90 
160635.OF,38308474.27 
160636.OF,303032183.72 
160637.OF,1096001992.12 
160638.OF,693010425.85 
160639.OF,477955846.94 
160640.OF,81381076.36 
160706.OF,18191699935.56 
160716.OF,1143659441.95 
160806.OF,254916651.74 
160807.OF,87861171.31 
160808.OF,24058143.47 
160809.OF,47443904.56 
160814.OF,438672604.45 
161022.OF,7793012350.39 
161024.OF,31174776521.16 
161025.OF,2757233429.59 
161026.OF,19586061778.85 
161027.OF,5197463348.03 
161028.OF,5486790156.61 
161029.OF,962416406.06 
161030.OF,429387766.49 
161031.OF,3933188302.44 
161032.OF,304710920.76 
161033.OF,219847343.89 
161118.OF,667789189.92 
161121.OF,169026706.17 
161122.OF,289377512.19 
161123.OF,3074949280.48 
161207.OF,134800366.53 
161211.OF,481844253.51 
161213.OF,73393724.88 
161217.OF,119137661.73 
161223.OF,166546125.15 
161227.OF,1002643395.81 
161604.OF,6576144170.26 
161612.OF,201876373.75 
161628.OF,232989854.40 
161629.OF,759908243.13 
161630.OF,38682622.79 
161715.OF,22974219.13 
161718.OF,25172171.93 
161720.OF,688592242.33 
161721.OF,100355072.99 
161723.OF,389767592.92 
161724.OF,243901072.17 
161725.OF,281029802.79 
161726.OF,547468758.88 
161811.OF,160892966.96 
161812.OF,5237633008.93 
161816.OF,324469110.96 
161819.OF,158168479.35 
161832.OF,8703340.06 
161833.OF,17671708.18 
161907.OF,56936173.46 
161910.OF,32370936.90 
162010.OF,37451426.10 
162107.OF,15062606.52 
162213.OF,112814185.95 
162216.OF,51380292.18 
162307.OF,160203857.90 
162412.OF,539930765.20 
162413.OF,164103581.50 
162509.OF,374083505.44 
162510.OF,24541187.92 
162711.OF,1648215841.76 
162714.OF,67905551.67 
162907.OF,57171748.61 
163109.OF,2181043592.42 
163111.OF,666361929.44 
163113.OF,10543504883.35 
163114.OF,2197763599.59 
163115.OF,3998216638.70 
163116.OF,794401026.88 
163117.OF,150928873.25 
163118.OF,1490246095.63 
163209.OF,22956574.18 
163821.OF,41220062.29 
164304.OF,322374483.44 
164401.OF,73279830.49 
164402.OF,132909797.22 
164403.OF,26865941.68 
164809.OF,58992246.12 
164811.OF,39480021.11 
164818.OF,349601350.49 
164819.OF,120648026.65 
164820.OF,312418522.11 
164821.OF,93055939.06 
164905.OF,809486656.50 
164907.OF,301357003.80 
164908.OF,90485020.76 
165309.OF,502977003.02 
165312.OF,620995438.99 
165315.OF,83968187.82 
165316.OF,45315032.08 
165511.OF,620984123.29 
165515.OF,1379463119.68 
165519.OF,281652189.88 
165520.OF,446001175.46 
165521.OF,3116269475.68 
165522.OF,643226701.60 
165523.OF,389305357.83 
165524.OF,176763279.50 
165525.OF,41099051.91 
165707.OF,18176684.35 
166802.OF,61041876.37 
167301.OF,300878163.22 
167503.OF,726136994.31 
167601.OF,34029107.82 
168001.OF,151648416.50 
168201.OF,1453678178.50 
168202.OF,52792712.84 
168203.OF,69408598.55 
168204.OF,210394627.16 
168205.OF,420974984.40 
180033.OF,109965865.86 
202015.OF,975328991.67 
202017.OF,392312929.28 
202021.OF,825380942.16 
202025.OF,258451525.80 
206005.OF,87541817.13 
206010.OF,58811048.33 
217016.OF,60395652.17 
217017.OF,174742271.17 
217019.OF,89020859.26 
217027.OF,27767401.81 
240014.OF,476359203.32 
240016.OF,151320455.04 
240019.OF,68217766.66 
257060.OF,139105468.81 
263001.OF,92348037.00 
270010.OF,1196121913.60 
270026.OF,305636553.81 
290010.OF,74882209.65 
310398.OF,159561824.36 
320010.OF,146390732.01 
320014.OF,87893661.97 
370023.OF,22668408.03 
410008.OF,38494461.13 
460220.OF,12667972.67 
460300.OF,1685101956.96 
470007.OF,1607876385.06 
470068.OF,67382414.16 
481009.OF,2794436811.74 
481012.OF,206990136.13 
501002.OF,242603600.38 
501005.OF,1634377652.64 
501006.OF,186823876.78 
502000.OF,6066592.05 
502003.OF,898698772.32 
502006.OF,895518736.79 
502010.OF,1320139446.40 
502013.OF,1523131517.16 
502016.OF,21456886.24 
502020.OF,36326264.78 
502023.OF,10262754.16 
502026.OF,10061544.83 
502030.OF,42704694.78 
502036.OF,253919727.80 
502040.OF,41145107.79 
502048.OF,914286767.50 
502053.OF,129675439.27 
502056.OF,204086718.12 
510010.OF,673466951.24 
510020.OF,259462764.50 
510030.OF,178559187.19 
510050.OF,30151372157.60 
510060.OF,298582447.51 
510070.OF,99790239.57 
510090.OF,122051416.60 
510110.OF,56690773.81 
510120.OF,41152870.35 
510130.OF,338701329.07 
510150.OF,179089528.10 
510160.OF,833372224.74 
510170.OF,162307571.94 
510180.OF,19225427298.39 
510190.OF,145767874.93 
510210.OF,172274292.00 
510220.OF,34111542.80 
510230.OF,3601247306.84 
510260.OF,106874679.24 
510270.OF,28781447.73 
510280.OF,77632533.62 
510290.OF,306487944.53 
510300.OF,21857224600.35 
510310.OF,4329738427.88 
510330.OF,17947647043.39 
510360.OF,29173378.67 
510410.OF,82637281.20 
510420.OF,237075247.42 
510430.OF,110467558.94 
510440.OF,53113263.00 
510450.OF,9207058.95 
510500.OF,20475912485.14 
510510.OF,1660385897.48 
510520.OF,206344149.55 
510560.OF,534464068.10 
510580.OF,13263023.94 
510610.OF,37933884.01 
510620.OF,38177012.64 
510630.OF,303873060.18 
510650.OF,128531138.67 
510660.OF,195309460.18 
510680.OF,6372260.73 
510710.OF,204230144.22 
510880.OF,644360845.79 
512010.OF,43242051.03 
512070.OF,1465726423.13 
512110.OF,3230032.37 
512120.OF,76108073.01 
512210.OF,109796781.10 
512220.OF,764308114.05 
512230.OF,74034707.50 
512300.OF,101950044.90 
512310.OF,136279910.55 
512330.OF,38955258.86 
512340.OF,105096033.83 
512500.OF,1146121335.95 
512510.OF,483789562.68 
512600.OF,15540575.65 
512610.OF,56426050.67 
512640.OF,72468018.44 
512990.OF,532370493.60 
519027.OF,37699477.46 
519032.OF,31027119.30 
519034.OF,39790381.99 
519100.OF,413016262.10 
519117.OF,74794224.93 
519180.OF,1886844800.52 
519300.OF,2299897522.96 
519671.OF,178266858.90 
519677.OF,620928358.11 
519686.OF,688086325.05 
519706.OF,48478637.14 
530010.OF,126287599.84 
530015.OF,97901342.57 
540012.OF,53662883.15 
585001.OF,163174223.95 
660008.OF,939611791.18 
660011.OF,94017581.42 
690008.OF,64289695.59 
740101.OF,91091457.16 
000042.OF,28042053.60 
000176.OF,321365523.34 
000311.OF,392435009.64 
000312.OF,34129383.22 
000313.OF,56438605.20 
000478.OF,217908975.34 
000820.OF,542208.12 
000821.OF,3205407.51 
001015.OF,175938631.94 
001016.OF,86907389.69 
001027.OF,187913404.94 
001397.OF,121535279.54 
001884.OF,326230.57 
002310.OF,4279557.23 
002311.OF,4063203.00 
002315.OF,4279298.03 
002316.OF,4062956.32 
002385.OF,
040002.OF,2747064819.46 
050002.OF,4790625332.71 
100032.OF,441430881.80 
100038.OF,1550486480.59 
110003.OF,8776418409.22 
110030.OF,484115272.78 
161017.OF,349342401.04 
161507.OF,38214766.08 
161607.OF,897536897.17 
161613.OF,359359019.90 
161825.OF,56182924.26 
163407.OF,421150913.36 
163808.OF,316832915.19 
164508.OF,111107306.23 
165806.OF,15740812.01 
166007.OF,83443410.73 
167901.OF,14872846.69 
180003.OF,2669860803.77 
200002.OF,1127183405.11 
213010.OF,79770378.93 
233010.OF,55869760.74 
310318.OF,554557938.84 
399001.OF,160126741.77 
410010.OF,8722394.28 
450008.OF,239960979.80 
519116.OF,84876633.55 
530018.OF,80158818.71 
590007.OF,82540099.99 
660014.OF,34214016.21 
700002.OF,53645575.90 
960022.OF,
000001.OF,6091983503.44 
000011.OF,1990240712.97 
000017.OF,184058354.57 
000020.OF,624450080.69 
000021.OF,8411922649.18 
000031.OF,2480769632.61 
000039.OF,653091275.30 
000057.OF,46195450.43 
000061.OF,2362490339.91 
000083.OF,3206508246.08 
000117.OF,1555162358.78 
000120.OF,63176725.91 
000124.OF,4459468807.81 
000127.OF,979321944.80 
000172.OF,3016779420.11 
000173.OF,3577474453.66 
000209.OF,38817360.27 
000220.OF,2600514123.71 
000251.OF,2338085316.95 
000263.OF,2926337626.75 
000294.OF,186089300.08 
000308.OF,61645531.17 
000339.OF,394525557.29 
000354.OF,285833992.25 
000432.OF,38728557.18 
000522.OF,65598920.04 
000532.OF,753582277.67 
000547.OF,118045600.05 
000550.OF,4148236006.94 
000551.OF,22715432.34 
000589.OF,361169638.41 
000591.OF,106794788.66 
000601.OF,212874314.54 
000612.OF,1205996074.51 
000646.OF,59653587.25 
000800.OF,3575152611.66 
000940.OF,1809055967.06 
000945.OF,3674881065.50 
000946.OF,765471254.83 
000965.OF,720794074.90 
001000.OF,5939832912.59 
001076.OF,2322036672.58 
001088.OF,2315369034.14 
001118.OF,4523660911.60 
001144.OF,1841334625.05 
001256.OF,2915482818.07 
001267.OF,205778670.34 
001268.OF,2776825792.04 
001306.OF,4916685492.51 
001307.OF,63260044.48 
001349.OF,10256076921.29 
001403.OF,1930428932.78 
001463.OF,973408615.60 
001475.OF,6133002422.10 
001811.OF,
001881.OF,98531253.42 
001882.OF,1548431.22 
001883.OF,988192.56 
001886.OF,935766.67 
001888.OF,60946926.24 
001985.OF,965881022.79 
002011.OF,13768868233.98 
002173.OF,302418038.32 
002174.OF,
002305.OF,216771570.24 
020001.OF,2640121696.29 
020003.OF,486424757.54 
020005.OF,1373740040.14 
020009.OF,709554154.31 
020010.OF,1945210429.86 
020015.OF,320984236.47 
020023.OF,92720921.81 
020026.OF,112748753.11 
040005.OF,3159906750.87 
040007.OF,2965167187.95 
040008.OF,3874785749.95 
040011.OF,79465124.28 
040016.OF,276720660.79 
040020.OF,298683345.44 
040025.OF,367668218.82 
040035.OF,1924486503.00 
050004.OF,4646596528.99 
050008.OF,2808028555.26 
050009.OF,5353300390.20 
050010.OF,412765324.61 
050014.OF,378445994.64 
050018.OF,206587050.17 
050026.OF,1930630521.29 
070001.OF,4934955914.62 
070002.OF,3016393601.04 
070003.OF,4352728570.95 
070006.OF,3085732510.65 
070010.OF,5192065057.01 
070011.OF,7415496363.30 
070013.OF,5681528694.01 
070017.OF,321601140.91 
070019.OF,669476233.00 
070021.OF,1110473357.36 
070022.OF,2116794599.86 
070027.OF,3849816888.90 
070032.OF,446889972.71 
070099.OF,3621700357.94 
080001.OF,409764348.88 
080005.OF,330765983.26 
080007.OF,86260266.03 
080012.OF,2844179884.49 
080015.OF,59462646.99 
090003.OF,4216284825.72 
090004.OF,1227524740.27 
090007.OF,473362574.88 
090009.OF,178553719.73 
090011.OF,53345296.68 
090013.OF,89005596.03 
090015.OF,654008275.09 
090016.OF,63653769.74 
090018.OF,70119917.80 
090020.OF,46762223.82 
100020.OF,3627936843.05 
100022.OF,1703516887.35 
100026.OF,4393158918.58 
100039.OF,288533770.14 
100056.OF,8964167181.29 
100060.OF,510890280.58 
110002.OF,2379454170.88 
110005.OF,2557379509.64 
110009.OF,4006424365.59 
110011.OF,978940389.52 
110013.OF,2908715818.27 
110015.OF,827220399.18 
110023.OF,2226316360.03 
110025.OF,252949834.07 
110029.OF,10357070947.23 
112002.OF,2101505114.22 
121003.OF,1905142514.88 
121005.OF,1323050485.45 
121008.OF,709096693.85 
151001.OF,882340034.13 
160105.OF,1199549507.10 
160106.OF,2388166384.56 
160211.OF,545167843.28 
160212.OF,130543047.54 
160215.OF,1513303162.90 
160311.OF,5000388572.96 
160314.OF,4013641771.98 
160505.OF,7327480020.05 
160512.OF,346701793.60 
160603.OF,704117864.49 
160605.OF,1428246491.06 
160607.OF,2920405730.65 
160610.OF,2531197282.94 
160611.OF,1583290865.95 
160613.OF,119042039.95 
160805.OF,1086480504.06 
160910.OF,2873222006.94 
160916.OF,686539299.41 
160918.OF,617332828.67 
161005.OF,4045578730.54 
161601.OF,3841789826.19 
161606.OF,1580357692.88 
161609.OF,1266245767.70 
161610.OF,7630978496.35 
161611.OF,511280422.94 
161616.OF,2645485414.02 
161706.OF,1497620076.94 
161810.OF,767931254.45 
161818.OF,274861984.32 
161903.OF,390327606.20 
162006.OF,1409972009.71 
162102.OF,901648732.75 
162201.OF,1052744719.31 
162202.OF,279864525.71 
162203.OF,133303925.61 
162204.OF,837892664.72 
162207.OF,1158531529.88 
162209.OF,1655711478.31 
162212.OF,582283811.38 
162214.OF,286575405.92 
162605.OF,1912324927.85 
162607.OF,2131053916.98 
162703.OF,2745929671.47 
163302.OF,1087601504.39 
163406.OF,3477403108.95 
163409.OF,1268534360.79 
163412.OF,2726218071.32 
163415.OF,443434824.34 
163503.OF,1038251710.34 
163801.OF,1676866588.49 
163803.OF,3505646361.67 
163804.OF,2158418361.48 
163805.OF,981022160.49 
163818.OF,57444735.26 
163822.OF,345904088.51 
165313.OF,647516384.81 
165508.OF,111710295.14 
165512.OF,34772582.28 
165516.OF,890548500.99 
166001.OF,3975946172.05 
166005.OF,2012762637.04 
166006.OF,2422880047.47 
166009.OF,2090892113.95 
166011.OF,5225667421.72 
180010.OF,5564886155.04 
180012.OF,2725369161.62 
180013.OF,1832540975.58 
180031.OF,3268608443.50 
200006.OF,1367447504.29 
200008.OF,4814974539.61 
200010.OF,1447187554.36 
200012.OF,89012699.86 
200015.OF,255604245.38 
202001.OF,2464046179.66 
202003.OF,5676432041.86 
202005.OF,4464730371.84 
202007.OF,2532330353.25 
202009.OF,1762853874.09 
202011.OF,1299740152.09 
202019.OF,452965216.82 
206002.OF,308518918.60 
206007.OF,322858259.43 
206009.OF,966010240.99 
210003.OF,256000474.68 
210004.OF,250463401.81 
210005.OF,453025385.07 
210008.OF,333422350.42 
210009.OF,176328238.92 
213002.OF,2231016504.50 
213003.OF,6601383499.21 
213008.OF,7803272504.48 
217001.OF,759759958.29 
217005.OF,2223137211.60 
217009.OF,1683231011.75 
217010.OF,934239085.87 
217012.OF,766975789.45 
217013.OF,271441185.45 
229002.OF,91228576.58 
233001.OF,136516301.29 
233006.OF,574936180.67 
233007.OF,898430809.56 
233009.OF,3273417617.46 
233011.OF,677910413.85 
233015.OF,3028944554.57 
240001.OF,1690290966.51 
240004.OF,2535451832.51 
240005.OF,2070524368.95 
240008.OF,1586890875.57 
240009.OF,2473749430.66 
240010.OF,4077715787.34 
240011.OF,137504970.35 
240017.OF,1231721508.93 
240020.OF,992987905.69 
240022.OF,75403212.93 
257010.OF,1953435261.22 
257020.OF,1767816013.81 
257030.OF,386936455.72 
257040.OF,214343563.20 
257050.OF,623163133.26 
257070.OF,2749819214.49 
260101.OF,1686973381.94 
260104.OF,1377117475.79 
260108.OF,1149503217.69 
260109.OF,2525589904.99 
260110.OF,3927464400.74 
260111.OF,54999379.31 
260112.OF,989565336.23 
260115.OF,196720237.01 
260116.OF,3358059988.72 
260117.OF,106306180.16 
270002.OF,3376140158.91 
270005.OF,9755750972.78 
270006.OF,5157238860.92 
270007.OF,3326096287.15 
270008.OF,1660821623.06 
270021.OF,1313011913.36 
270025.OF,5990818618.97 
270028.OF,1132224665.79 
270041.OF,56758138.40 
270050.OF,334392241.66 
288001.OF,1470397667.84 
288002.OF,3432536382.70 
290002.OF,1899683803.86 
290004.OF,1255737842.37 
290006.OF,835330107.16 
290008.OF,74321608.62 
290011.OF,356733059.52 
290014.OF,56791572.45 
310308.OF,872161013.88 
310328.OF,1363410773.81 
310358.OF,1374018407.79 
310368.OF,54478911.11 
310388.OF,290490461.74 
320001.OF,2215874353.79 
320003.OF,4973583803.26 
320005.OF,2379538855.09 
320007.OF,882447438.98 
320011.OF,836522330.56 
320012.OF,410872221.97 
320016.OF,68910581.01 
340007.OF,7081720640.58 
350002.OF,44845746.80 
350005.OF,47070433.20 
350008.OF,32984563.72 
360005.OF,2323751997.78 
360006.OF,422684594.25 
360007.OF,4669963843.02 
360010.OF,182223635.32 
360012.OF,352156038.19 
360016.OF,48895386.35 
370024.OF,2444155998.27 
370027.OF,470108329.10 
373020.OF,319660075.64 
375010.OF,1786028544.19 
377010.OF,2474996570.66 
377020.OF,3428312227.10 
377150.OF,213489321.26 
377240.OF,2592525647.55 
377530.OF,2565260895.78 
378010.OF,1304387557.46 
379010.OF,611493324.67 
398001.OF,2124654556.36 
398011.OF,702990662.20 
398021.OF,1728422331.22 
398041.OF,76973771.90 
398061.OF,438959714.84 
400003.OF,3991751712.65 
400007.OF,674686055.33 
400011.OF,72018533.19 
400032.OF,263748427.45 
410001.OF,951856814.43 
410003.OF,1607285968.51 
410009.OF,63312736.63 
420003.OF,180852050.23 
420005.OF,221789156.59 
450002.OF,1941523161.89 
450003.OF,1886341792.72 
450004.OF,424994484.43 
450007.OF,154046962.64 
450011.OF,66945617.17 
460001.OF,2299109558.16 
460002.OF,2472575222.13 
460005.OF,1078150654.62 
460007.OF,294968351.78 
460009.OF,331892246.94 
470006.OF,6026628669.99 
470008.OF,2177990903.71 
470009.OF,7932868704.17 
470028.OF,4832826711.87 
470098.OF,1174603889.43 
481001.OF,4973361936.07 
481004.OF,2932700675.89 
481006.OF,709850498.97 
481008.OF,272019672.63 
481010.OF,447074694.00 
481013.OF,221392761.13 
481015.OF,2669667606.40 
481017.OF,198383210.31 
483003.OF,2916655069.14 
510081.OF,596472258.72 
519001.OF,6331639152.33 
519002.OF,452703097.19 
519005.OF,1519533460.97 
519008.OF,2459408435.98 
519011.OF,2024334194.74 
519013.OF,672994784.61 
519015.OF,598137741.89 
519017.OF,1531759397.82 
519018.OF,7359537255.04 
519019.OF,1276948743.39 
519021.OF,2070041059.98 
519025.OF,158154866.33 
519026.OF,239366592.59 
519033.OF,202342435.80 
519035.OF,2641839105.09 
519039.OF,2011813156.67 
519056.OF,48972062.36 
519068.OF,4970941337.61 
519069.OF,6331695778.44 
519087.OF,1514759523.04 
519089.OF,503451678.72 
519093.OF,830096297.79 
519095.OF,288548447.76 
519097.OF,534736638.18 
519099.OF,40049132.35 
519110.OF,3221964639.99 
519115.OF,126438012.26 
519150.OF,1036359665.29 
519158.OF,1972919078.53 
519181.OF,1190682464.22 
519185.OF,118014019.37 
519664.OF,448096141.53 
519665.OF,179289537.39 
519668.OF,973354693.33 
519670.OF,2905990587.42 
519672.OF,129721112.23 
519674.OF,1241614491.72 
519678.OF,104534794.58 
519679.OF,1675195921.45 
519688.OF,2860665711.72 
519692.OF,4079489744.83 
519694.OF,3140145868.07 
519698.OF,2832050950.98 
519702.OF,303262354.52 
519704.OF,1197137426.51 
519712.OF,117733573.23 
519727.OF,124096981.23 
519736.OF,423968428.48 
519915.OF,1859070360.41 
519979.OF,1154543016.44 
519983.OF,2611765777.24 
519987.OF,63134361.97 
519993.OF,1964973388.37 
519994.OF,3055832693.60 
519996.OF,801406177.44 
530001.OF,1380680530.33 
530003.OF,2382856991.94 
530006.OF,1347984385.90 
530011.OF,681193550.34 
530019.OF,41092459.19 
540002.OF,503064113.80 
540004.OF,112572496.74 
550001.OF,1185258282.83 
550002.OF,1595259453.68 
550003.OF,214237164.53 
550008.OF,195327235.87 
550009.OF,87106818.78 
560002.OF,621933758.38 
560003.OF,1223387976.91 
570001.OF,1040878205.41 
570005.OF,48985852.55 
570006.OF,65243466.84 
570007.OF,97998900.48 
570008.OF,138355048.77 
580001.OF,692558241.21 
580002.OF,680542895.84 
