code,establish_date
392001.OF,2010-07-28
660007.OF,2010-11-23
660107.OF,2010-11-23
253051.OF,2011-01-26
253050.OF,2011-01-26
519509.OF,2011-03-09
519510.OF,2011-03-09
550011.OF,2011-03-23
550010.OF,2011-03-23
540011.OF,2011-11-02
541011.OF,2011-11-02
070029.OF,2011-12-28
070028.OF,2011-12-28
470030.OF,2012-05-09
040029.OF,2012-05-09
040028.OF,2012-05-09
471030.OF,2012-05-09
040031.OF,2012-05-23
040030.OF,2012-05-23
471060.OF,2012-06-12
470060.OF,2012-06-12
040033.OF,2012-06-14
040034.OF,2012-06-14
420106.OF,2012-06-20
420006.OF,2012-06-20
471014.OF,2012-07-10
470014.OF,2012-07-10
202303.OF,2012-08-14
202304.OF,2012-08-14
485118.OF,2012-08-22
485018.OF,2012-08-22
070035.OF,2012-08-29
070036.OF,2012-08-29
531014.OF,2012-08-28
530014.OF,2012-08-28
091021.OF,2012-09-20
090021.OF,2012-09-20
380002.OF,2012-09-24
380001.OF,2012-09-24
202306.OF,2012-10-19
360019.OF,2012-10-25
360020.OF,2012-10-25
202305.OF,2012-10-19
001057.OF,2012-10-24
380004.OF,2012-10-26
380003.OF,2012-10-26
001058.OF,2012-10-24
485020.OF,2012-10-26
485120.OF,2012-10-26
519716.OF,2012-11-05
090022.OF,2012-11-20
091022.OF,2012-11-20
550013.OF,2012-11-27
550012.OF,2012-11-27
040038.OF,2012-11-26
040039.OF,2012-11-26
110051.OF,2012-11-26
110050.OF,2012-11-26
210012.OF,2012-12-07
210013.OF,2012-12-07
091023.OF,2012-11-29
090023.OF,2012-11-29
690210.OF,2012-12-18
166014.OF,2012-12-12
166015.OF,2012-12-12
690010.OF,2012-12-18
217025.OF,2012-12-07
020031.OF,2012-12-11
630112.OF,2012-12-11
630012.OF,2012-12-11
020032.OF,2012-12-11
217026.OF,2012-12-07
531028.OF,2012-12-20
530028.OF,2012-12-20
519889.OF,2012-12-21
519888.OF,2012-12-21
380007.OF,2012-12-24
730003.OF,2012-12-26
730103.OF,2012-12-26
380008.OF,2012-12-24
511990.OF,2012-12-27
740602.OF,2013-01-25
740601.OF,2013-01-25
519511.OF,2013-01-15
110053.OF,2013-01-15
110052.OF,2013-01-15
270047.OF,2013-01-14
270046.OF,2013-01-14
531029.OF,2013-01-29
001078.OF,2013-01-22
530029.OF,2013-01-29
710502.OF,2013-01-29
710501.OF,2013-01-29
001077.OF,2013-01-22
485022.OF,2013-01-28
485122.OF,2013-01-28
380010.OF,2013-01-31
750006.OF,2013-02-05
750007.OF,2013-02-05
380011.OF,2013-01-31
519800.OF,2013-02-04
519801.OF,2013-02-04
660116.OF,2013-02-05
660016.OF,2013-02-05
690012.OF,2013-02-07
690212.OF,2013-02-07
000013.OF,2013-03-04
000010.OF,2013-03-04
000009.OF,2013-03-04
519898.OF,2013-03-27
519899.OF,2013-03-27
519722.OF,2013-03-13
519721.OF,2013-03-13
511880.OF,2013-04-01
159001.OF,2013-03-29
159002.OF,2013-03-29
000090.OF,2013-04-25
000089.OF,2013-04-25
159003.OF,2013-05-17
159004.OF,2013-05-17
472007.OF,2013-05-29
471007.OF,2013-05-29
000198.OF,2013-05-29
000038.OF,2013-06-20
000037.OF,2013-06-20
000203.OF,2013-07-24
000204.OF,2013-07-24
000210.OF,2013-09-05
000211.OF,2013-09-05
000301.OF,2013-09-16
000300.OF,2013-09-16
000330.OF,2013-09-12
530030.OF,2013-09-17
531030.OF,2013-09-17
000331.OF,2013-10-21
000332.OF,2013-10-21
000324.OF,2013-10-29
000325.OF,2013-10-29
000371.OF,2013-10-18
000389.OF,2013-10-22
000359.OF,2013-10-24
000343.OF,2013-10-25
000380.OF,2013-11-26
000381.OF,2013-11-26
000424.OF,2013-12-09
000425.OF,2013-12-09
000379.OF,2013-12-03
519859.OF,2013-12-02
519858.OF,2013-12-02
000434.OF,2013-12-03
000439.OF,2013-12-16
000322.OF,2013-12-18
000323.OF,2013-12-18
519809.OF,2013-12-11
519808.OF,2013-12-11
000132.OF,2013-12-19
000133.OF,2013-12-19
000397.OF,2013-12-13
000484.OF,2013-12-30
000483.OF,2013-12-30
000464.OF,2013-12-18
000486.OF,2013-12-24
000485.OF,2013-12-24
000509.OF,2014-01-10
000506.OF,2014-01-20
000505.OF,2014-01-20
000476.OF,2014-01-27
000475.OF,2014-01-27
000495.OF,2014-01-21
000494.OF,2014-01-21
000493.OF,2014-01-21
000528.OF,2014-01-27
000540.OF,2014-02-17
000539.OF,2014-02-14
000533.OF,2014-02-27
000543.OF,2014-02-27
000542.OF,2014-02-27
000569.OF,2014-02-26
000575.OF,2014-02-27
000560.OF,2014-03-25
000559.OF,2014-03-25
000581.OF,2014-03-17
519566.OF,2014-03-25
519567.OF,2014-03-25
000588.OF,2014-03-25
000604.OF,2014-04-25
000605.OF,2014-04-25
000618.OF,2014-04-29
000599.OF,2014-05-14
000638.OF,2014-05-07
000640.OF,2014-05-12
000580.OF,2014-05-28
000576.OF,2014-05-28
000645.OF,2014-05-26
000602.OF,2014-05-26
000600.OF,2014-05-28
000627.OF,2014-06-18
000626.OF,2014-06-18
000651.OF,2014-06-18
000644.OF,2014-06-18
000647.OF,2014-06-17
000648.OF,2014-06-17
000488.OF,2014-06-27
000487.OF,2014-06-27
000686.OF,2014-06-17
000659.OF,2014-06-23
000658.OF,2014-06-23
000657.OF,2014-06-23
000660.OF,2014-06-23
000615.OF,2014-06-25
000662.OF,2014-06-23
000661.OF,2014-06-23
000687.OF,2014-06-23
000681.OF,2014-06-26
000683.OF,2014-06-26
000682.OF,2014-06-26
000699.OF,2014-06-26
000704.OF,2014-06-25
000705.OF,2014-06-25
000709.OF,2014-07-17
620011.OF,2014-08-01
620010.OF,2014-08-01
000722.OF,2014-08-06
000721.OF,2014-08-06
000738.OF,2014-08-05
000724.OF,2014-07-28
000726.OF,2014-07-28
000725.OF,2014-07-28
000685.OF,2014-08-19
000735.OF,2014-08-25
000734.OF,2014-08-25
519131.OF,2014-08-19
000740.OF,2014-08-27
000741.OF,2014-08-27
000710.OF,2014-09-12
000759.OF,2014-08-21
000748.OF,2014-08-28
000771.OF,2014-09-01
000786.OF,2014-09-16
000787.OF,2014-09-16
000785.OF,2014-09-16
000791.OF,2014-09-05
000701.OF,2014-09-16
000790.OF,2014-09-12
000707.OF,2014-09-16
000789.OF,2014-09-12
000693.OF,2014-09-17
000773.OF,2014-09-23
000797.OF,2014-09-24
000784.OF,2014-09-22
000783.OF,2014-09-22
000730.OF,2014-09-18
000677.OF,2014-09-23
000819.OF,2014-09-26
000808.OF,2014-09-25
000809.OF,2014-09-25
000846.OF,2014-10-21
000837.OF,2014-10-17
519878.OF,2014-10-20
000847.OF,2014-10-21
519879.OF,2014-10-20
000836.OF,2014-10-17
000848.OF,2014-10-22
000871.OF,2014-11-20
000872.OF,2014-11-20
000860.OF,2014-11-14
000868.OF,2014-11-13
000750.OF,2014-11-24
000857.OF,2014-11-25
000712.OF,2014-11-25
511810.OF,2014-12-05
000855.OF,2014-11-25
000816.OF,2014-12-05
000713.OF,2014-11-25
000856.OF,2014-11-25
511860.OF,2014-11-25
000895.OF,2014-11-20
000883.OF,2014-11-28
000882.OF,2014-11-28
000903.OF,2014-12-04
000912.OF,2014-12-10
000907.OF,2014-12-19
000908.OF,2014-12-19
000923.OF,2014-12-18
000922.OF,2014-12-18
000921.OF,2014-12-18
159006.OF,2014-12-23
159005.OF,2014-12-23
000902.OF,2015-01-14
000901.OF,2015-01-14
000981.OF,2015-01-20
000982.OF,2015-01-20
000905.OF,2015-01-27
000980.OF,2015-01-16
000366.OF,2015-01-16
001010.OF,2015-01-20
000621.OF,2015-02-05
000620.OF,2015-02-05
001096.OF,2015-03-02
001038.OF,2015-03-06
001006.OF,2015-03-31
001094.OF,2015-04-23
001233.OF,2015-05-06
001176.OF,2015-05-14
001232.OF,2015-05-06
001177.OF,2015-05-14
001175.OF,2015-05-14
001234.OF,2015-06-25
001308.OF,2015-06-15
001211.OF,2015-06-12
000760.OF,2015-06-19
001478.OF,2015-06-19
001477.OF,2015-06-19
000918.OF,2015-06-25
001527.OF,2015-06-26
000919.OF,2015-06-25
000917.OF,2015-06-25
001529.OF,2015-06-25
001526.OF,2015-06-26
511830.OF,2015-07-14
511890.OF,2015-07-16
001666.OF,2015-07-21
001624.OF,2015-07-23
001625.OF,2015-07-23
001697.OF,2015-08-04
001698.OF,2015-08-04
001699.OF,2015-08-04
001386.OF,2015-08-13
001391.OF,2015-08-13
001871.OF,2015-09-29
001870.OF,2015-09-29
001826.OF,2015-09-23
001895.OF,2015-11-04
001894.OF,2015-11-04
001909.OF,2015-10-22
001931.OF,2015-10-21
001916.OF,2015-10-20
001937.OF,2015-11-02
001926.OF,2015-11-02
001925.OF,2015-11-02
001929.OF,2015-10-30
001930.OF,2015-10-30
001821.OF,2015-11-05
001820.OF,2015-11-05
001973.OF,2015-11-04
511900.OF,2015-11-24
001981.OF,2015-11-24
001982.OF,2015-11-24
001987.OF,2015-11-23
511930.OF,2015-11-30
002077.OF,2015-12-08
002078.OF,2015-12-08
001991.OF,2015-12-21
001992.OF,2015-12-21
002195.OF,2015-12-11
001843.OF,2015-12-08
001842.OF,2015-12-08
002248.OF,2015-12-24
002247.OF,2015-12-24
002241.OF,2015-12-23
002240.OF,2015-12-23
002260.OF,2015-12-16
002185.OF,2015-12-21
002184.OF,2015-12-21
001788.OF,2015-12-24
001787.OF,2015-12-24
002318.OF,2016-01-29
511820.OF,2016-01-29
002202.OF,2016-02-03
161623.OF,2016-01-18
002200.OF,2016-02-03
002201.OF,2016-02-03
161622.OF,2016-01-18
002324.OF,2016-02-03
001401.OF,2016-02-03
002243.OF,2016-03-18
002673.OF,2016-05-05
002679.OF,2016-04-26
002680.OF,2016-04-26
002672.OF,2016-05-05
002733.OF,
002709.OF,
002710.OF,
002646.OF,
002647.OF,
002759.OF,
002760.OF,
,
数据来源：Wind资讯,
