code,establish_date
519030.OF,2010-11-23
050119.OF,2010-11-24
050019.OF,2010-11-24
180025.OF,2010-12-03
161115.OF,2010-11-09
166008.OF,2010-12-02
180026.OF,2010-12-03
160617.OF,2010-12-02
100051.OF,2010-12-08
040019.OF,2010-12-21
290009.OF,2011-02-09
310508.OF,2011-02-11
164902.OF,2011-01-27
164808.OF,2011-02-10
630109.OF,2011-03-15
630009.OF,2011-03-15
217018.OF,2011-03-17
160718.OF,2011-03-23
161216.OF,2011-03-29
395011.OF,2011-03-23
395012.OF,2011-03-23
261001.OF,2011-03-25
261101.OF,2011-03-25
200113.OF,2011-04-12
200013.OF,2011-04-12
400013.OF,2011-04-14
020022.OF,2011-04-19
206008.OF,2011-04-25
240018.OF,2011-04-27
162215.OF,2011-05-13
320015.OF,2011-05-13
360014.OF,2011-05-16
360013.OF,2011-05-16
210006.OF,2011-05-17
160123.OF,2011-05-17
160124.OF,2011-05-17
519676.OF,2011-05-31
001021.OF,2011-05-25
001023.OF,2011-05-25
166010.OF,2011-06-16
470059.OF,2011-06-17
470058.OF,2011-06-17
165311.OF,2011-06-16
040022.OF,2011-06-22
040023.OF,2011-06-22
110027.OF,2011-06-21
110028.OF,2011-06-21
180028.OF,2011-06-28
202212.OF,2011-06-21
163817.OF,2011-06-29
163816.OF,2011-06-29
660109.OF,2011-07-01
660009.OF,2011-07-01
163003.OF,2011-06-24
163004.OF,2011-06-24
582002.OF,2011-07-27
582202.OF,2011-07-27
162712.OF,2011-08-05
163411.OF,2011-08-03
485014.OF,2011-08-10
485114.OF,2011-08-10
620007.OF,2011-08-16
372010.OF,2011-08-10
372110.OF,2011-08-10
164606.OF,2011-09-22
217020.OF,2011-09-01
070025.OF,2011-09-14
070026.OF,2011-09-14
519685.OF,2011-09-26
519683.OF,2011-09-26
090017.OF,2011-11-30
080009.OF,2011-12-06
080010.OF,2011-12-06
310518.OF,2011-12-09
110036.OF,2011-12-01
110035.OF,2011-12-01
040026.OF,2011-12-08
100058.OF,2011-12-05
530017.OF,2011-12-13
180029.OF,2011-12-28
180030.OF,2011-12-28
160217.OF,2011-12-29
253061.OF,2012-02-22
253060.OF,2012-02-22
161614.OF,2012-03-01
163819.OF,2012-03-12
050123.OF,2012-02-29
050023.OF,2012-02-29
261002.OF,2012-03-15
261102.OF,2012-03-15
270029.OF,2012-03-13
270030.OF,2012-03-13
519976.OF,2012-03-30
519977.OF,2012-03-30
217022.OF,2012-03-21
690206.OF,2012-04-25
690006.OF,2012-04-25
110037.OF,2012-05-03
110038.OF,2012-05-03
160129.OF,2012-05-17
320020.OF,2012-05-28
531020.OF,2012-05-29
530020.OF,2012-05-29
206013.OF,2012-06-13
090019.OF,2012-06-15
370021.OF,2012-06-25
370022.OF,2012-06-25
660013.OF,2012-06-19
675011.OF,2012-06-26
675013.OF,2012-06-26
161117.OF,2012-06-19
720002.OF,2012-07-13
202108.OF,2012-07-20
202110.OF,2012-07-20
710302.OF,2012-07-25
020027.OF,2012-07-31
020028.OF,2012-07-31
710301.OF,2012-07-25
200016.OF,2012-08-02
161820.OF,2012-08-09
270043.OF,2012-07-19
217023.OF,2012-07-20
420008.OF,2012-08-10
233013.OF,2012-08-28
420108.OF,2012-08-10
233012.OF,2012-08-28
206015.OF,2012-09-03
040037.OF,2012-09-07
686869.OF,2012-09-18
040036.OF,2012-09-07
686868.OF,2012-09-18
450018.OF,2012-09-11
450019.OF,2012-09-11
050027.OF,2012-09-07
470010.OF,2012-09-18
470011.OF,2012-09-18
700004.OF,2012-09-11
163823.OF,2012-09-19
519119.OF,2012-09-18
519118.OF,2012-09-18
217024.OF,2012-08-20
270045.OF,2012-09-20
270044.OF,2012-09-20
750003.OF,2012-09-25
070033.OF,2012-09-24
750002.OF,2012-09-25
001031.OF,2012-09-11
400016.OF,2012-10-09
519188.OF,2012-09-21
519189.OF,2012-09-21
001033.OF,2012-09-11
161119.OF,2012-11-08
161120.OF,2012-11-08
166903.OF,2012-11-15
161618.OF,2012-11-06
161619.OF,2012-11-06
160621.OF,2012-11-05
590010.OF,2012-11-21
590009.OF,2012-11-21
485119.OF,2012-11-14
485019.OF,2012-11-14
530021.OF,2012-11-15
531021.OF,2012-11-15
700006.OF,2012-11-27
700005.OF,2012-11-27
320021.OF,2012-11-29
100066.OF,2012-11-22
100068.OF,2012-11-22
519669.OF,2012-11-29
460108.OF,2012-12-04
420009.OF,2012-11-28
460008.OF,2012-12-04
161822.OF,2012-12-13
161821.OF,2012-12-13
050128.OF,2012-12-06
050028.OF,2012-12-06
128013.OF,2012-12-11
121013.OF,2012-12-11
270049.OF,2012-12-12
270048.OF,2012-12-12
380005.OF,2012-12-12
380006.OF,2012-12-12
070037.OF,2012-12-11
070038.OF,2012-12-11
519153.OF,2012-12-21
519152.OF,2012-12-21
675021.OF,2012-12-25
519720.OF,2012-12-19
519718.OF,2012-12-19
675023.OF,2012-12-25
550017.OF,2012-12-12
550016.OF,2012-12-12
550015.OF,2012-12-12
020034.OF,2012-12-26
020033.OF,2012-12-26
040045.OF,2012-12-24
200017.OF,2013-01-23
210014.OF,2013-01-30
370026.OF,2013-02-04
370025.OF,2013-02-04
100073.OF,2013-01-29
100072.OF,2013-01-29
519020.OF,2012-12-24
040041.OF,2013-02-05
040040.OF,2013-02-05
160721.OF,2013-02-05
160720.OF,2013-02-05
380009.OF,2013-02-04
550018.OF,2013-02-07
550019.OF,2013-02-07
206018.OF,2013-02-06
000007.OF,2013-03-08
020036.OF,2013-03-07
020035.OF,2013-03-07
000005.OF,2013-03-08
000016.OF,2013-03-08
000015.OF,2013-03-08
511010.OF,2013-03-05
000052.OF,2013-03-13
000026.OF,2013-03-19
000050.OF,2013-03-13
000046.OF,2013-03-29
000027.OF,2013-03-19
000045.OF,2013-03-29
000014.OF,2013-03-19
000004.OF,2013-03-20
000003.OF,2013-03-20
000024.OF,2013-03-26
000025.OF,2013-03-26
163211.OF,2013-03-27
000054.OF,2013-03-13
161625.OF,2013-03-26
161624.OF,2013-03-26
000048.OF,2013-03-14
000047.OF,2013-03-14
000028.OF,2013-04-24
519725.OF,2013-04-18
519723.OF,2013-04-18
000030.OF,2013-04-18
650001.OF,2013-04-24
650002.OF,2013-04-24
000058.OF,2013-04-23
167701.OF,2013-04-25
165807.OF,2013-04-25
519726.OF,2013-04-24
000068.OF,2013-04-18
000067.OF,2013-04-18
160622.OF,2013-04-23
160130.OF,2013-04-25
000032.OF,2013-04-24
000033.OF,2013-04-24
165808.OF,2013-04-25
000023.OF,2013-05-03
000022.OF,2013-05-03
000085.OF,2013-04-23
000084.OF,2013-04-23
000053.OF,2013-05-03
519122.OF,2013-05-16
000087.OF,2013-05-10
000066.OF,2013-05-03
000088.OF,2013-05-10
519121.OF,2013-05-16
000062.OF,2013-05-22
000072.OF,2013-05-14
162715.OF,2013-05-08
000070.OF,2013-05-14
160623.OF,2013-04-23
162716.OF,2013-05-08
000069.OF,2013-05-14
000106.OF,2013-05-14
610008.OF,2013-05-14
610108.OF,2013-05-14
000110.OF,2013-05-20
000105.OF,2013-05-14
000126.OF,2013-04-19
159926.OF,2013-05-10
000116.OF,2013-05-21
000107.OF,2013-05-21
000093.OF,2013-05-09
000091.OF,2013-05-09
000109.OF,2013-05-21
000077.OF,2013-05-22
000074.OF,2013-05-22
000081.OF,2013-06-04
000128.OF,2013-05-24
000129.OF,2013-05-24
000080.OF,2013-06-04
000092.OF,2013-05-09
000118.OF,2013-06-05
000119.OF,2013-06-05
000142.OF,2013-05-30
000143.OF,2013-05-27
000151.OF,2013-06-18
000150.OF,2013-06-14
519124.OF,2013-06-14
000131.OF,2013-06-04
000130.OF,2013-06-04
000113.OF,2013-06-04
000115.OF,2013-06-04
000149.OF,2013-06-14
519123.OF,2013-06-14
400020.OF,2013-07-03
000122.OF,2013-06-14
000123.OF,2013-06-14
000174.OF,2013-06-27
000078.OF,2013-06-24
000064.OF,2013-06-25
000079.OF,2013-06-24
000175.OF,2013-06-27
000192.OF,2013-06-25
000191.OF,2013-06-25
000197.OF,2013-06-27
000196.OF,2013-06-26
000195.OF,2013-06-26
519661.OF,2013-07-17
519660.OF,2013-07-17
000200.OF,2013-06-26
000125.OF,2013-07-18
000212.OF,2013-07-17
000213.OF,2013-07-17
511210.OF,2013-07-11
000208.OF,2013-07-25
000207.OF,2013-07-25
000244.OF,2013-07-19
000245.OF,2013-07-19
000152.OF,2013-07-23
000153.OF,2013-07-23
000181.OF,2013-07-30
000182.OF,2013-07-30
000138.OF,2013-08-01
000086.OF,2013-07-23
000137.OF,2013-08-01
000166.OF,2013-07-31
000246.OF,2013-07-25
000225.OF,2013-08-09
000226.OF,2013-08-09
163824.OF,2013-08-08
000183.OF,2013-07-30
519663.OF,2013-08-09
519662.OF,2013-08-09
000111.OF,2013-07-30
000112.OF,2013-07-30
166905.OF,2013-08-12
000238.OF,2013-08-21
000237.OF,2013-08-21
161826.OF,2013-08-15
000194.OF,2013-08-07
000236.OF,2013-08-14
000121.OF,2013-08-13
519731.OF,2013-08-13
519730.OF,2013-08-13
000235.OF,2013-08-21
000253.OF,2013-08-26
000252.OF,2013-08-26
000104.OF,2013-08-20
000177.OF,2013-08-21
000267.OF,2013-08-21
000268.OF,2013-08-21
000257.OF,2013-08-28
000258.OF,2013-08-28
160515.OF,2013-08-22
000148.OF,2013-08-23
000147.OF,2013-08-23
000247.OF,2013-09-11
000270.OF,2013-09-03
000255.OF,2013-09-06
000254.OF,2013-09-06
000187.OF,2013-09-02
000188.OF,2013-09-02
000171.OF,2013-08-23
000221.OF,2013-09-06
000222.OF,2013-09-06
000260.OF,2013-09-12
000280.OF,2013-09-13
000281.OF,2013-09-13
163909.OF,2013-09-12
000206.OF,2013-09-10
000256.OF,2013-09-18
163910.OF,2013-09-12
000289.OF,2013-09-24
000205.OF,2013-09-10
000296.OF,2013-09-10
000295.OF,2013-09-10
000303.OF,2013-09-24
000202.OF,2013-09-13
000304.OF,2013-09-24
000286.OF,2013-09-18
000139.OF,2013-09-25
000141.OF,2013-09-25
000277.OF,2013-10-22
000306.OF,2013-09-11
164210.OF,2013-09-17
164211.OF,2013-09-17
161014.OF,2013-09-09
163826.OF,2013-09-24
000338.OF,2013-09-18
163825.OF,2013-09-24
519051.OF,2013-10-24
000201.OF,2013-11-05
000291.OF,2013-10-22
519161.OF,2013-11-13
000348.OF,2013-11-07
000292.OF,2013-10-22
000293.OF,2013-10-22
519160.OF,2013-11-13
000185.OF,2013-10-31
000184.OF,2013-10-31
000272.OF,2013-11-05
000349.OF,2013-11-07
000271.OF,2013-11-05
000346.OF,2013-11-05
000284.OF,2013-10-25
000285.OF,2013-10-25
000347.OF,2013-11-05
000372.OF,2013-11-07
000345.OF,2013-11-19
000335.OF,2013-11-08
000310.OF,2013-11-08
000227.OF,2013-11-14
000316.OF,2013-11-21
000318.OF,2013-11-21
000361.OF,2013-11-27
000360.OF,2013-11-27
000356.OF,2013-11-12
000351.OF,2013-11-20
000186.OF,2013-11-13
000355.OF,2013-11-12
000352.OF,2013-11-20
164703.OF,2013-11-06
164704.OF,2013-11-06
000388.OF,2013-11-14
000387.OF,2013-11-14
000440.OF,2013-11-19
160131.OF,2013-11-28
166021.OF,2013-11-28
519972.OF,2013-11-29
519973.OF,2013-11-29
000357.OF,2013-11-19
160915.OF,2013-10-16
000386.OF,2013-11-13
000385.OF,2013-11-13
000302.OF,2013-11-19
000317.OF,2013-11-21
166022.OF,2013-11-28
000396.OF,2013-11-22
000305.OF,2013-12-05
000395.OF,2013-11-22
161626.OF,2013-12-10
000401.OF,2013-12-03
519163.OF,2013-12-04
519162.OF,2013-12-04
000428.OF,2013-11-14
000400.OF,2013-12-03
000430.OF,2013-11-14
000429.OF,2013-11-14
161627.OF,2013-12-10
000435.OF,2013-12-10
000413.OF,2013-12-23
