date,160119.OF,000545.OF,100056.OF,519983.OF,000143.OF,650001.OF
2016/3/28,1.5899,2.003,1.983,2.1718,1.3279,1.2466
2016/3/29,1.56,1.943,1.972,2.1365,1.3216,1.2463
2016/3/30,1.6147,2.036,2.006,2.2047,1.331,1.2463
2016/3/31,1.6195,2.059,1.997,2.2153,1.3289,1.2467
2016/4/1,1.6115,2.009,1.992,2.2118,1.3276,1.2468
2016/4/5,1.6529,2.077,2.009,2.2635,1.3356,1.2476
2016/4/6,1.6621,2.113,2.006,2.2741,1.3373,1.2474
2016/4/7,1.6385,2.059,1.992,2.2424,1.335,1.2476
2016/4/8,1.6238,2.035,1.985,2.2365,1.3329,1.2474
2016/4/11,1.6581,2.087,2.007,2.2812,1.3381,1.2476
2016/4/12,1.6452,2.046,2.002,2.2788,1.3361,1.2472
2016/4/13,1.6688,2.081,2.007,2.3071,1.3395,1.2467
2016/4/14,1.683,2.102,2.017,2.3424,1.3417,1.2457
2016/4/15,1.6783,2.092,2.016,2.3576,1.3404,1.2458
2016/4/18,1.6524,2.052,2.009,2.3329,1.3384,1.2461
2016/4/19,1.6589,2.064,2.013,2.3424,1.3373,1.2462
2016/4/20,1.5862,1.961,1.986,2.2624,1.3248,1.2455
2016/4/21,1.5741,1.927,1.985,2.2518,1.3213,1.2447
2016/4/22,1.5838,1.949,2.006,2.2659,1.3236,1.2439
2016/4/25,1.5759,1.927,2.001,2.2647,1.3225,1.2443
2016/4/26,1.5931,1.956,2.002,2.2882,1.3252,1.2437
2016/4/27,1.5859,1.936,2.011,2.2847,1.3257,1.2433
2016/4/28,1.5792,1.936,2.019,2.2835,1.3248,1.2441
2016/4/29,1.5786,1.91,2.021,2.2859,1.3254,1.2443
2016/5/3,1.6242,1.973,2.057,2.3388,1.3322,1.2454
2016/5/4,1.6253,1.979,2.043,2.3353,1.3331,1.2461
2016/5/5,1.6338,1.993,2.043,2.3471,1.3342,1.2463
2016/5/6,1.5739,1.908,1.997,2.2682,1.3252,1.2463
2016/5/9,1.5189,1.803,1.991,2.1906,1.3195,1.2474
2016/5/10,1.5183,1.797,1.999,2.1882,1.3188,1.248
2016/5/11,1.5154,1.764,2.002,2.1741,1.3162,1.2483
2016/5/12,1.5162,1.769,2.011,2.1694,1.3178,1.2485
2016/5/13,1.5132,1.756,2.008,2.1635,1.3188,1.2486
2016/5/16,1.5379,1.787,2.02,2.1941,1.3235,1.2487
2016/5/17,1.5332,1.813,2.014,2.1918,1.323,1.2488
2016/5/18,1.4927,1.747,1.994,2.1412,1.318,1.2486
2016/5/19,1.503,1.766,2.004,2.1494,1.3186,1.2487
2016/5/20,1.5201,1.787,2.01,2.1706,1.3207,1.2491
2016/5/23,1.5394,1.832,2.027,2.2035,1.3254,1.2494
2016/5/24,1.5228,1.811,2.006,2.1929,1.3223,1.2496
2016/5/25,1.516,1.806,1.986,2.1953,1.3229,1.2496
2016/5/26,1.5231,1.817,1.998,2.2071,1.3238,1.2497
2016/5/27,1.5227,1.798,1.99,2.2106,1.3233,1.2496
2016/5/30,1.5167,1.78,2.002,2.2071,1.3243,1.2504
2016/5/31,1.5775,1.871,2.046,2.2788,1.334,1.2503
2016/6/1,1.5842,1.892,2.051,2.2929,1.3359,1.2508
2016/6/2,1.5939,1.911,2.053,2.3106,1.3377,1.2509
2016/6/3,1.5998,1.947,2.088,2.3165,1.3383,1.251
2016/6/6,1.6041,1.94,2.097,2.3212,1.3407,1.2514
2016/6/7,1.6029,1.929,2.088,2.3247,1.3415,1.2517
2016/6/8,1.599,1.92,2.083,2.3306,1.3412,1.252
2016/6/13,1.53,1.819,2.043,2.2365,1.3312,1.2524
2016/6/14,1.5335,1.816,2.046,2.2435,1.3328,1.2525
2016/6/15,1.583,1.863,2.086,2.3094,1.3424,1.2526
2016/6/16,1.5779,1.839,2.057,2.3165,1.3436,1.2528
2016/6/17,1.5866,1.855,2.063,2.3353,1.3456,1.2528
2016/6/20,1.5925,1.855,2.067,2.3494,1.348,1.2536
2016/6/21,1.5754,1.842,2.053,2.3271,1.3456,1.2534
2016/6/22,1.5985,1.882,2.059,2.3694,1.3487,1.2536
2016/6/23,1.5911,1.898,2.055,2.3682,1.3478,1.2539
2016/6/24,1.5721,1.895,2.057,2.3518,1.3448,1.2544
2016/6/27,1.608,1.945,2.104,2.4118,1.351,1.2547
2016/6/28,1.6243,1.985,2.104,2.44,1.3531,1.255
