date,163406.OF,000697.OF,519983.OF,070008.OF,213009.OF
2015/11/15,2.8847,2.037,2.115,14280.0788 ,12363.4734 
2015/11/22,3.0107,2.157,2.245,14288.3546 ,12369.2837 
2015/11/29,2.8955,2.044,2.188,14296.6228 ,12375.9560 
2015/12/6,2.929,2.025,2.268,14304.9798 ,12385.9352 
2015/12/13,2.9226,2.048,2.233,14314.0256 ,12389.4943 
2015/12/20,3.0684,2.161,2.396,14323.8248 ,12400.1356 
2015/12/27,3.0965,2.116,2.465,14334.0549 ,12409.3950 
2016/1/3,3.0255,2.039,2.466,14342.2501 ,12417.6797 
2016/1/10,2.5892,1.712,2.164,14351.2290 ,12425.9142 
2016/1/17,2.4143,1.534,1.977,14359.2437 ,12433.2068 
2016/1/24,2.4613,1.574,2.0341,14367.6585 ,12440.1696 
2016/1/31,2.3324,1.433,1.8918,14375.1941 ,12447.9324 
2016/2/7,2.4063,1.488,1.9741,14381.2395 ,12452.3297 
2016/2/14,2.4063,1.488,1.9741,14390.3920 ,12457.4112 
2016/2/21,2.56,1.623,2.0741,14397.9632 ,12463.0936 
2016/2/28,2.4441,1.492,1.9788,14406.2640 ,12471.6975 
2016/3/6,2.4309,1.417,1.9659,14416.8304 ,12477.2912 
2016/3/13,2.4062,1.398,1.9706,14425.2028 ,12482.6934 
2016/3/20,2.5831,1.593,2.1188,14432.1541 ,12489.7945 
2016/3/27,2.6637,1.629,2.1788,14438.9768 ,12496.2334 
2016/4/3,2.6698,1.643,2.2118,14444.9298 ,12502.1719 
2016/4/10,2.6657,1.655,2.2365,14454.3224 ,12506.7543 
2016/4/17,2.743,1.704,2.3576,14461.5629 ,12512.2926 
2016/4/24,2.6274,1.589,2.2659,14468.4244 ,12518.1691 
2016/5/1,2.6668,1.584,2.2859,14473.4875 ,12524.4696 
2016/5/8,2.6383,1.589,2.2682,14483.0884 ,12530.0335 
2016/5/15,2.623,1.485,2.1635,14489.8694 ,12535.3230 
2016/5/22,2.6017,1.513,2.1706,14496.3267 ,12541.0812 
2016/5/29,2.6214,1.516,2.2106,14503.5143 ,12546.4357 
2016/6/5,2.7569,1.639,2.3165,14510.0056 ,12554.8601 
2016/6/12,2.7457,1.635,2.3306,14516.3738 ,12559.8668 
2016/6/19,2.7535,1.583,2.3353,14523.5726 ,12567.4056 
2016/6/26,2.7418,1.577,2.3271,14525.8959 ,12572.6025 
